name x y flux1 flux2 flux3 par rv
P05640  -6.133  14.712 6.91e-16 4.35e-16 2.07e-16   0.001   -0.17
P04295  -6.145  12.636 3.24e-17 2.17e-17 1.56e-17   0.000   -1.92
P02112  -6.105  13.096 2.19e-15 1.24e-15 5.99e-16   0.002    0.06
P02294  -6.075  12.985 7.55e-17 5.20e-17 2.94e-17   0.001   -3.17
P04692  -5.972  12.941 5.89e-17 4.15e-17 2.65e-17  -0.000    0.02
P02098  -6.158  14.893 1.96e-16 1.21e-16 7.26e-17   0.001    0.06
P00643  -5.865  12.324 2.69e-16 1.82e-16 9.15e-17  -0.001   -4.24
P00878  -6.062  13.306 1.05e-13 6.99e-14 3.15e-14   0.002   -1.98
P01384  -6.042  12.989 1.77e-15 8.63e-16 4.46e-16   0.002  -10.55
P01413  -6.021  12.893 2.71e-17 2.24e-17 1.53e-17   0.001   -3.87
P00095  -5.866  12.784 1.29e-16 8.75e-17 4.97e-17   0.001   -2.53
P05252  -5.966  12.962 2.70e-15 1.18e-14 2.76e-14   0.002   -5.76
P03989  -5.983  13.281 2.71e-17 2.47e-17 1.51e-17   0.002   -2.14
P01200  -6.056  12.898 5.48e-17 4.72e-17 3.24e-17   0.000   -9.43
P03850  -6.005  12.870 3.07e-16 1.73e-16 1.10e-16   0.001   -6.37
P02656  -6.010  12.797 8.83e-16 5.55e-16 2.60e-16   0.001   -8.80
P04869  -5.904  12.696 1.67e-16 1.13e-16 5.94e-17  -0.000   -2.66
P01693  -5.876  12.558 4.68e-14 2.37e-14 1.02e-14   0.002   -2.17
P03149  -5.855  12.907 3.32e-17 2.68e-17 1.69e-17   0.000   -5.57
P04998  -5.909  12.941 1.13e-16 7.51e-17 4.01e-17   0.002   -5.09
P06191  -5.923  12.863 2.35e-16 1.78e-16 8.41e-17   0.001   -8.59
P05120  -5.749  13.627 1.45e-15 7.97e-16 4.09e-16   0.000   -1.74
P02297  -5.790  12.900 2.10e-15 9.85e-16 5.34e-16   0.001   -7.85
P04622  -5.938  12.766 6.73e-17 4.46e-17 3.01e-17   0.001   -3.43
P04236  -5.879  13.014 1.69e-16 1.13e-16 7.50e-17  -0.000   -3.16
P04377  -5.766  12.909 4.89e-17 3.67e-17 2.36e-17   0.001   -8.09
P01192  -5.763  13.292 6.82e-14 3.70e-14 1.82e-14   0.001   -3.63
P06129  -5.792  13.303 5.95e-14 3.47e-14 1.39e-14   0.002   -2.55
P05266  -5.719  12.862 2.12e-15 1.22e-15 5.15e-16   0.000   -4.08
P02126  -5.630  13.136 1.49e-16 9.91e-17 5.36e-17  -0.001   -6.66
P04062  -5.874  13.752 4.30e-17 3.12e-17 2.08e-17   0.003   -2.21
P03972  -5.680  12.951 6.60e-17 5.04e-17 3.05e-17  -0.001   -6.26
P00821  -5.671  12.767 1.08e-16 7.50e-17 4.36e-17  -0.000   -5.95
P01405  -5.663  14.963 1.10e-16 6.91e-17 4.11e-17  -0.000   -0.00
P03268  -5.617  12.803 2.24e-17 2.13e-17 1.42e-17   0.001   -3.92
P05650  -5.544  12.704 6.07e-16 3.63e-16 1.78e-16   0.001   -3.36
P00409  -5.509  12.976 1.68e-15 7.48e-15 2.09e-14   0.000   -4.61
P02897  -5.624  12.623 5.02e-15 2.68e-15 1.30e-15   0.000   -3.18
P01557  -5.554  11.442 4.26e-14 2.20e-14 1.04e-14   0.001   -2.12
P06159  -5.404  12.793 1.18e-13 7.29e-14 4.14e-14   0.001   -6.34
P04482  -5.475  12.854 4.22e-17 3.47e-17 2.22e-17   0.001   -5.74
P02459  -5.601  13.287 4.66e-17 3.52e-17 2.32e-17   0.002   -3.84
P04534  -5.509  13.172 1.53e-16 1.07e-16 6.00e-17   0.001   -4.07
P03471  -5.395  13.956 1.79e-17 1.61e-17 1.14e-17  -0.001    0.23
P05699  -5.428  13.703 1.34e-13 8.39e-14 4.20e-14   0.002   -2.15
P04905  -5.416  13.550 7.78e-15 3.42e-15 1.58e-15   0.000   -2.47
P04610  -5.392  13.526 2.49e-16 1.81e-16 9.99e-17   0.002   -2.39
P02165  -5.371  12.678 1.57e-16 8.49e-17 5.76e-17  -0.002   -5.72
P03230  -5.334  14.947 2.78e-16 1.76e-16 1.19e-16   0.001   -0.39
P02355  -5.295  13.325 1.04e-13 5.84e-14 2.89e-14   0.000   -0.42
P02703  -5.196  13.021 2.03e-16 1.46e-16 7.86e-17   0.001   -5.68
P02793  -5.319  11.630 6.77e-13 3.19e-13 1.54e-13   0.010   -2.06
P01677  -5.308  13.334 1.00e-16 7.23e-17 3.85e-17   0.001   -5.68
P01448  -5.233  12.824 5.70e-15 3.02e-15 1.32e-15  -0.001   -5.17
P02821  -5.187  12.789 2.60e-16 1.64e-16 9.44e-17  -0.001   -3.89
P06089  -5.205  12.840 1.39e-13 1.04e-13 6.72e-14   0.002   -5.75
P01139  -5.143  12.365 1.15e-13 9.61e-14 7.51e-14   0.001   -2.62
P05680  -5.157  12.690 3.48e-14 5.97e-14 7.12e-14  -0.000   -3.85
P05574  -5.069  13.835 1.96e-15 1.07e-15 5.16e-16   0.000    0.18
P05578  -5.102  12.852 2.94e-17 2.27e-17 1.63e-17   0.000   -5.55
P03882  -5.056  13.999 2.43e-11 3.44e-11 3.65e-11   0.016   -1.62
P02402  -4.891  12.442 5.93e-14 3.12e-14 1.51e-14   0.001   -3.01
P00317  -4.831  12.734 6.12e-17 4.39e-17 2.84e-17  -0.000   -4.73
P04218  -4.743  12.802 3.48e-15 1.82e-15 9.08e-16   0.001   -5.12
P03565  -4.867  12.436 1.18e-16 7.47e-17 4.55e-17   0.001   -3.16
P01840  -4.658  13.945 1.43e-13 9.92e-14 5.36e-14  -0.000   -2.40
P05257  -4.674  14.734 7.25e-17 5.50e-17 3.05e-17  -0.000   -0.46
P03298  -4.620  12.276 9.90e-14 6.30e-14 3.05e-14   0.002   -1.16
P02694  -4.663  12.618 1.38e-13 1.02e-13 7.16e-14  -0.000   -4.23
P03009  -4.565  12.974 7.20e-15 3.05e-15 1.52e-15   0.000   -4.73
P04306  -4.500  13.841 1.28e-16 9.02e-17 4.71e-17  -0.001   -1.23
P02166  -4.429  13.107 3.56e-14 2.01e-14 9.00e-15   0.000   -1.72
P01391  -4.384  13.193 1.13e-15 6.29e-16 3.05e-16  -0.000    0.29
P03495  -4.389  13.549 6.91e-15 3.63e-15 1.76e-15   0.002    0.50
P03450  -4.145  14.861 6.01e-14 3.29e-14 1.65e-14   0.002   -0.73
P00716  -4.125  13.281 9.69e-14 1.22e-13 8.93e-14  -0.001   -4.05
P00718  -4.042  13.167 4.80e-15 2.55e-15 1.12e-15  -0.000    0.10
P00668  -4.174  12.808 2.29e-17 2.13e-17 1.40e-17   0.001   -4.49
P01122  -4.148  12.752 3.39e-15 1.60e-15 7.83e-16  -0.001   -0.63
P03640  -3.975  12.785 9.06e-17 6.76e-17 3.45e-17  -0.000   -0.78
P05168  -4.127  12.914 3.72e-15 1.54e-15 7.92e-16   0.001   -4.70
P04914  -4.014  13.019 8.75e-14 4.12e-14 2.21e-14   0.000   -4.73
P06084  -4.008  14.384 2.90e-16 1.82e-16 8.82e-17   0.000   -1.28
P05000  -4.041  14.505 1.03e-15 5.55e-16 2.89e-16   0.001   -0.70
P05121  -4.027  13.758 7.80e-17 6.08e-17 4.11e-17   0.001    0.15
P05549  -3.828  14.740 1.39e-16 9.30e-17 4.60e-17   0.001   -0.90
P00285  -3.923  14.196 1.13e-17 1.03e-17 8.16e-18   0.001   -1.44
P06125  -3.863  12.198 5.33e-16 3.01e-16 1.53e-16   0.001   -3.20
P02892  -3.795  13.368 1.64e-13 1.31e-13 8.96e-14  -0.001    0.69
P02787  -3.629  13.523 2.19e-15 9.60e-16 4.83e-16   0.001    0.62
P04901  -3.688  13.091 1.86e-15 9.12e-16 4.48e-16   0.000   -4.61
P03083  -3.685  13.563 1.78e-16 1.30e-16 6.28e-17   0.001   -0.12
P04649  -3.443  14.023 4.78e-17 3.78e-17 2.32e-17   0.001   -0.04
P03671  -3.247  13.123 1.54e-15 7.45e-16 3.49e-16  -0.001   -4.54
P00862  -3.233  11.847 5.32e-16 3.60e-15 1.18e-14  -0.002   -2.06
P00582  -3.108  13.028 1.67e-13 1.19e-13 7.21e-14   0.000    0.61
P04974  -3.219  11.940 1.15e-17 1.00e-17 7.49e-18   0.002   -3.17
P06151  -3.152  12.352 3.50e-15 1.82e-15 9.65e-16   0.000   -1.55
P01894  -3.038  13.197 2.51e-16 1.75e-16 1.03e-16   0.001    0.40
P06133  -3.168  13.104 1.64e-17 1.41e-17 1.09e-17   0.000    0.42
P02748  -3.005  12.362 9.52e-17 6.16e-17 3.84e-17   0.001   -3.46
P05153  -3.017  13.533 5.22e-15 2.47e-15 1.13e-15   0.003    0.35
P03581  -3.022  11.674 4.08e-15 1.97e-15 9.02e-16   0.001   -2.24
P05537  -2.955  12.998 1.47e-13 1.40e-13 7.38e-14   0.001    0.91
P01510  -2.828  13.264 6.96e-16 3.70e-16 1.83e-16   0.001   -0.22
P04641  -2.885  13.467 6.22e-14 3.24e-14 1.33e-14  -0.001    0.66
P01853  -2.720  12.172 3.13e-16 2.07e-16 1.15e-16   0.002   -2.01
P01906  -2.731  12.729 3.10e-17 2.36e-17 1.46e-17   0.002   -4.26
P00007  -2.760  13.251 2.08e-15 1.17e-15 4.84e-16   0.000    0.91
P03259  -2.759  14.773 1.64e-16 9.47e-17 6.07e-17   0.000   -2.39
P03690  -2.721  13.162 1.07e-13 6.60e-14 3.27e-14  -0.001   -4.33
P03199  -2.614  14.887 6.70e-14 6.65e-14 5.73e-14   0.002   -2.14
P01034  -2.623  13.419 1.32e-13 6.91e-14 3.24e-14   0.001   -0.39
P05900  -2.609  14.132 9.66e-16 5.52e-16 2.74e-16   0.001   -1.29
P00362  -2.517  14.721 2.76e-16 2.37e-15 9.57e-15  -0.001   -2.76
P06067  -2.646  13.421 5.81e-15 2.62e-15 1.17e-15   0.001    1.32
P00560  -2.539  13.663 9.54e-14 5.00e-14 2.47e-14   0.000    0.74
P03085  -2.531  12.691 1.12e-16 8.82e-17 4.81e-17   0.001   -1.45
P00723  -2.287  13.470 1.54e-16 1.02e-16 5.81e-17   0.001    1.43
P02256  -2.453  13.758 1.04e-13 5.24e-14 2.80e-14  -0.000   -0.29
P05634  -2.486  14.206 1.45e-17 1.11e-17 8.37e-18   0.000   -2.49
P02385  -2.507  13.325 1.16e-17 9.50e-18 8.73e-18   0.000    0.47
P05235  -2.369  13.463 1.91e-15 1.08e-15 5.91e-16   0.001    1.50
P00627  -2.483  13.190 1.73e-15 9.12e-16 4.54e-16  -0.000    1.59
P02372  -2.406  12.613 1.45e-16 9.30e-17 5.11e-17   0.002   -1.58
P04956  -2.368  12.694 2.85e-15 1.51e-15 7.08e-16   0.001   -1.74
P02856  -2.455   5.438 3.62e-12 1.77e-12 9.96e-13   0.041   -3.92
P03557  -2.236  13.330 1.91e-15 1.04e-15 4.99e-16  -0.000    0.56
P05428  -2.301  13.284 1.72e-15 1.03e-15 4.84e-16   0.002    0.04
P05710  -2.148  13.082 9.33e-14 5.38e-14 2.36e-14  -0.000    1.66
P00869  -2.186  14.596 1.09e-17 9.56e-18 7.25e-18   0.001   -2.71
P05119  -2.187  14.232 1.09e-17 9.38e-18 7.57e-18   0.001   -2.69
P03577  -2.259  12.989 2.97e-15 1.53e-15 7.75e-16   0.001   -0.08
P06039  -2.168  13.742 4.00e-15 2.25e-15 1.07e-15   0.002    0.20
P00617  -2.148  13.227 1.42e-15 7.54e-16 3.67e-16   0.002    1.79
P02444  -2.181  13.765 1.29e-15 6.92e-16 3.78e-16   0.001   -1.24
P00043  -1.997  12.309 2.84e-17 2.25e-17 1.46e-17   0.001   -0.80
P03493  -2.011  12.975 1.06e-13 5.05e-14 2.83e-14   0.002    0.20
P02027  -2.053  14.364 7.64e-17 5.49e-17 2.85e-17   0.002   -2.27
P02698  -2.022  12.854 4.57e-16 2.82e-16 1.34e-16   0.001   -1.55
P01219  -1.959  14.721 2.69e-15 1.36e-15 6.40e-16  -0.001   -2.99
P04559  -1.942  13.282 1.27e-17 1.23e-17 9.32e-18   0.001    1.93
P01580  -2.105  13.196 9.79e-16 5.64e-16 2.71e-16  -0.000    1.72
P00325  -1.915  13.612 1.01e-13 4.79e-14 2.45e-14   0.000   -1.12
P03908  -1.876  12.629 2.76e-16 1.90e-16 9.68e-17  -0.001   -1.12
P04273  -1.915  11.990 7.13e-16 3.77e-16 1.85e-16  -0.000   -2.54
P04293  -1.859  12.185 1.63e-16 1.14e-16 6.80e-17   0.001   -2.39
P00880  -1.918  12.500 1.08e-13 1.07e-13 9.54e-14   0.001   -1.82
P01955  -1.944  13.179 4.17e-17 2.87e-17 2.23e-17   0.001    2.56
P02842  -1.940  12.238 7.14e-14 3.49e-14 1.60e-14  -0.002   -1.06
P05762  -1.852  12.469 1.27e-17 1.24e-17 8.54e-18   0.001   -0.64
P03193  -1.846  12.874 2.32e-17 1.74e-17 1.45e-17   0.000   -4.43
P05951  -1.880  13.214 3.41e-16 2.06e-16 1.14e-16   0.002    2.63
P00402  -1.804  13.197 1.71e-16 1.13e-16 6.60e-17   0.001   -4.34
P05452  -1.698  12.388 9.25e-14 4.60e-14 2.04e-14   0.000   -2.30
P00379  -1.747  13.646 1.58e-13 1.20e-13 7.89e-14   0.000   -1.06
P04041  -1.668  14.592 1.35e-15 7.01e-16 3.34e-16   0.001   -2.83
P00673  -1.614  13.211 2.62e-15 1.33e-15 5.89e-16   0.001    3.46
P06077  -1.672  13.223 5.41e-15 2.83e-15 1.29e-15   0.000    2.68
P01898  -1.678  12.922 2.97e-17 2.18e-17 1.63e-17   0.001   -1.30
P02601  -1.698  12.649 1.09e-16 6.95e-17 4.16e-17   0.002   -4.30
P01011  -1.590  13.453 3.55e-16 2.19e-16 1.10e-16   0.002    3.42
P04290  -1.619  12.894 9.57e-17 7.22e-17 4.10e-17   0.001   -1.55
P00622  -1.654  12.696 4.49e-16 2.93e-16 1.47e-16   0.001   -2.11
P02610  -1.579  13.492 6.17e-14 3.29e-14 1.41e-14   0.001    2.56
P00873  -1.538  13.393 3.58e-16 2.11e-16 1.19e-16  -0.000   -0.09
P05263  -1.494  13.283 7.90e-14 4.38e-14 1.96e-14  -0.000    3.60
P05458  -1.454  13.449 1.91e-16 1.21e-16 6.98e-17   0.002    2.74
P02852  -1.449  14.774 1.69e-16 1.13e-16 5.06e-17   0.001   -3.30
P03238  -1.410  14.073 2.48e-15 1.30e-15 5.81e-16   0.002   -2.10
P05624  -1.457  14.059 2.00e-16 1.41e-16 7.79e-17  -0.001   -2.21
P05898  -1.534  13.267 2.03e-17 1.85e-17 1.34e-17   0.000    1.57
P02591  -1.484  14.290 1.74e-15 8.36e-16 4.09e-16  -0.001   -2.20
P00791  -1.523  12.380 8.63e-14 9.73e-14 7.77e-14   0.003   -0.62
P05383  -1.486  13.163 1.49e-13 9.73e-14 5.53e-14   0.001    4.48
P00382  -1.465  13.034 1.03e-13 5.72e-14 2.95e-14   0.000    6.28
P01264  -1.400  13.153 7.77e-14 9.71e-14 9.78e-14   0.001    1.51
P03446  -1.297  13.307 1.61e-13 1.27e-13 8.25e-14   0.000    0.46
P01785  -1.364  13.059 1.34e-15 7.75e-16 4.09e-16  -0.000    2.32
P03999  -1.464  13.432 1.32e-13 1.37e-13 1.02e-13   0.000    6.44
P00616  -1.331  13.468 4.33e-17 3.49e-17 2.23e-17   0.001    4.72
P00300  -1.270  12.730 8.59e-16 4.64e-16 2.26e-16  -0.001   -2.37
P02749  -1.236  13.586 1.08e-15 6.18e-16 3.09e-16  -0.000   -2.28
P05100  -1.165  13.303 1.07e-13 1.28e-13 1.02e-13   0.001    2.69
P01664  -1.297  11.940 5.10e-15 2.75e-15 1.24e-15   0.002   -1.52
P01431  -1.284  12.819 4.05e-17 3.03e-17 1.97e-17  -0.000   -2.71
P01439  -1.284  13.073 6.75e-16 3.63e-16 2.13e-16   0.001   -1.70
P04530  -1.204  13.406 1.56e-13 1.39e-13 8.06e-14   0.002   14.95
P02421  -1.260  13.090 5.32e-15 2.44e-15 1.34e-15  -0.002    7.88
P04102  -1.258  12.981 5.61e-15 3.11e-15 1.41e-15   0.001   20.79
P04154  -1.085  14.404 4.80e-15 2.29e-15 1.11e-15   0.001   -2.42
P00839  -1.235  13.272 1.68e-13 1.32e-13 8.23e-14  -0.001   17.76
P01886  -1.150  13.373 1.06e-13 5.85e-14 2.94e-14   0.000    6.13
P05546  -1.245  13.480 7.81e-16 4.68e-16 2.03e-16   0.000   -4.30
P01806  -1.180  13.249 1.19e-13 1.23e-13 9.37e-14  -0.000   20.12
P04335  -1.287  12.704 9.84e-14 5.55e-14 2.66e-14   0.001   -2.77
P01588  -1.208  13.300 8.41e-14 4.27e-14 2.13e-14   0.001   -2.30
P01914  -1.253  13.223 5.56e-16 3.16e-16 1.68e-16   0.001    5.73
P01816  -1.074  13.155 5.33e-15 2.71e-15 1.28e-15   0.003  -11.42
P02945  -1.247  12.177 2.54e-16 1.61e-16 8.05e-17   0.000   -1.42
P02221  -1.103  13.004 2.88e-17 2.42e-17 1.76e-17   0.002   -2.83
P01635  -1.148  13.326 1.49e-15 8.91e-16 4.47e-16   0.001   -3.07
P06076  -1.121  13.906 9.67e-14 5.39e-14 3.31e-14   0.000   -3.18
P01157  -1.088  12.767 4.85e-17 3.44e-17 2.52e-17   0.001   -3.95
P02458  -1.101  13.127 8.32e-14 3.99e-14 1.94e-14   0.000  -13.81
P02626  -1.041  13.305 8.71e-15 4.40e-15 1.87e-15   0.001   -7.95
P00584  -1.117  13.181 2.22e-16 1.40e-16 9.16e-17   0.001   -6.61
P04854  -1.020  13.286 9.61e-17 6.98e-17 4.59e-17   0.001   -7.80
P05440  -1.016  13.085 2.08e-15 1.08e-15 5.01e-16  -0.001   -3.09
P02501  -1.155  13.280 7.11e-15 4.01e-15 2.03e-15   0.002  -16.24
P05903  -1.156  13.313 1.49e-13 1.04e-13 5.58e-14   0.002   -5.60
P04496  -1.026  13.218 2.56e-17 1.90e-17 1.29e-17   0.002   -9.34
P03917  -1.046  13.438 1.30e-17 1.09e-17 8.88e-18   0.002   -6.16
P00621  -1.113  13.181 1.44e-15 7.89e-16 3.49e-16   0.000  -13.92
P04078  -0.965  13.142 1.70e-17 1.47e-17 1.02e-17   0.003  -11.58
P03489  -1.081  13.072 8.35e-14 4.85e-14 2.51e-14   0.000   -1.18
P03383  -0.972  13.019 7.33e-16 4.32e-16 2.35e-16   0.003   -4.40
P03600  -1.071  14.332 5.30e-15 2.86e-15 1.25e-15   0.000   -2.66
